time,open,high,low,close,volume,trade
2018-01-01,733.01000000,763.55000000,716.80000000,754.99000000,53909.25885000,27993.21701000
2018-01-02,754.99000000,899.50000000,749.06000000,855.28000000,113257.78355000,59298.38305000
2018-01-03,855.13000000,950.01000000,810.00000000,934.03000000,89041.45688000,46899.16696000
2018-01-04,934.03000000,1009.72000000,890.01000000,940.00000000,102894.47384000,56497.66029000
2018-01-05,940.00000000,1045.00000000,930.00000000,959.30000000,97374.01630000,46202.53716000
2018-01-06,958.00000000,1017.56000000,950.00000000,1004.11000000,71954.27895000,37424.43173000
2018-01-07,1003.71000000,1125.00000000,999.90000000,1123.09000000,65278.81957000,34849.04095000
2018-01-08,1123.09000000,1239.18000000,910.00000000,1133.18000000,158831.54798000,80909.60102000
2018-01-09,1133.18000000,1326.50000000,1104.85000000,1291.00000000,118702.88684000,63819.94883000
2018-01-10,1291.00000000,1440.00000000,1201.10000000,1247.00000000,160185.01290000,80897.55541000
2018-01-11,1249.03000000,1332.49000000,1021.00000000,1138.93000000,194546.29387000,90313.17614000
2018-01-12,1136.45000000,1288.50000000,1069.01000000,1253.87000000,93763.47261000,47727.57553000
2018-01-13,1253.87000000,1427.01000000,1252.00000000,1388.02000000,75893.43201000,40759.98465000
2018-01-14,1388.10000000,1391.89000000,1220.89000000,1347.00000000,98391.19585000,49243.39136000
2018-01-15,1347.99000000,1383.13000000,1258.12000000,1271.00000000,69236.70476000,32880.54134000
2018-01-16,1268.67000000,1275.01000000,780.00000000,1000.00000000,343889.36509000,158932.38241000
2018-01-17,999.99000000,1075.51000000,755.00000000,1000.00000000,436333.67326000,215412.88029000
2018-01-18,1000.00000000,1075.20000000,924.21000000,994.00000000,294545.71207000,148139.91520000
2018-01-19,993.30000000,1079.00000000,941.00000000,1032.50000000,167954.11253000,87251.78210000
2018-01-20,1032.50000000,1165.40000000,1031.00000000,1152.75000000,123352.58362000,59469.51440000
2018-01-21,1150.37000000,1152.69000000,998.00000000,1049.00000000,175031.00789000,84495.91903000
2018-01-22,1049.00000000,1090.15000000,908.00000000,993.00000000,185212.52002000,85196.91919000
2018-01-23,993.00000000,1030.00000000,909.00000000,980.00000000,160159.63958000,77990.78030000
2018-01-24,981.20000000,1074.00000000,953.09000000,1061.00000000,134257.79470000,65704.16239000
2018-01-25,1060.34000000,1115.00000000,1030.26000000,1056.52000000,119415.93495000,51616.93186000
2018-01-26,1055.29000000,1082.00000000,986.00000000,1051.03000000,145113.63800000,65457.65737000
2018-01-27,1051.03000000,1127.99000000,1032.20000000,1118.99000000,96894.33839000,45766.53699000
2018-01-28,1118.99000000,1277.00000000,1112.00000000,1251.96000000,143510.73586000,75218.37986000
2018-01-29,1251.96000000,1258.89000000,1161.65000000,1177.01000000,105292.76808000,48840.57937000
2018-01-30,1177.01000000,1186.85000000,1051.00000000,1085.50000000,155278.55404000,69602.77847000
2018-01-31,1084.63000000,1135.00000000,1029.00000000,1124.81000000,100372.03783000,50640.76647000
2018-02-01,1125.96000000,1164.99000000,981.00000000,1041.94000000,203355.29052000,103607.53527000
2018-02-02,1041.89000000,1047.20000000,783.67000000,922.30000000,377375.22874000,181803.82775000
2018-02-03,923.67000000,998.00000000,851.00000000,971.00000000,160037.88129000,81177.46937000
2018-02-04,971.00000000,975.00000000,789.00000000,823.56000000,186446.03160000,85023.08997000
2018-02-05,821.60000000,862.47000000,634.94000000,697.92000000,365516.52899000,172545.91147000
2018-02-06,697.93000000,798.00000000,570.10000000,779.25000000,648944.42040000,322992.49713000
2018-02-07,779.99000000,849.00000000,714.18000000,754.00000000,356403.44410000,175794.37713000
2018-02-08,753.19000000,786.93000000,751.00000000,781.66000000,10516.26190000,5608.73717000
2018-02-09,781.66000000,882.20000000,781.66000000,877.00000000,95447.67289000,48219.20627000
2018-02-10,876.30000000,911.20000000,800.00000000,851.15000000,214818.06768000,106790.73578000
2018-02-11,851.15000000,857.00000000,768.28000000,808.99000000,189323.40800000,93816.64268000
2018-02-12,808.58000000,877.56000000,807.46000000,866.66000000,143586.93121000,71318.44048000
2018-02-13,866.39000000,871.00000000,820.00000000,841.57000000,110305.93537000,52069.10892000
2018-02-14,841.57000000,924.99000000,841.30000000,919.09000000,150342.85558000,77859.33104000
2018-02-15,919.09000000,946.66000000,895.59000000,924.55000000,155637.78524000,75296.76352000
